epoch,loss_cov_epoch,loss_cov_step,loss_marginal_epoch,loss_marginal_step,step
0,,0.0943283885717392,,0.10246595740318298,49
0,,0.08866887539625168,,0.066072978079319,99
0,0.10697614401578903,,0.13417604565620422,,127
1,,0.09269002825021744,,0.061406686902046204,149
1,,0.06862484663724899,,0.06038251519203186,199
1,,0.0695149302482605,,0.058579280972480774,249
1,0.07250377535820007,,0.05938549339771271,,255
2,,0.07316499948501587,,0.05706550180912018,299
2,,0.07953651249408722,,0.05859222263097763,349
2,0.07057581841945648,,0.05691537261009216,,383
